,contractSymbol,lastTradeDate,strike,lastPrice,impliedVolatility,expiry_date,symbol,dates diff,Stock price
37,PFE231215C00050000,2023-12-12,50.0,0.01,0.500005,2023-12-15,PFE,3.0,28.579999923706055
38,PFE231215C00055000,2023-12-11,55.0,0.01,0.500005,2023-12-15,PFE,4.0,28.639999389648438
0,PFE231222C00020000,2023-12-13,20.0,6.05,1.0000000000000003e-05,2023-12-22,PFE,9.0,26.65999984741211
1,PFE231222C00024000,2023-12-13,24.0,2.55,1.0000000000000003e-05,2023-12-22,PFE,9.0,26.65999984741211
2,PFE231222C00025000,2023-12-13,25.0,1.75,1.0000000000000003e-05,2023-12-22,PFE,9.0,26.65999984741211
3,PFE231222C00026500,2023-12-13,26.5,0.57,1.0000000000000003e-05,2023-12-22,PFE,9.0,26.65999984741211
4,PFE231222C00027000,2023-12-13,27.0,0.31,0.0312596875,2023-12-22,PFE,9.0,26.65999984741211
5,PFE231222C00027500,2023-12-13,27.5,0.17,0.062509375,2023-12-22,PFE,9.0,26.65999984741211
6,PFE231222C00028000,2023-12-13,28.0,0.09,0.062509375,2023-12-22,PFE,9.0,26.65999984741211
7,PFE231222C00028500,2023-12-13,28.5,0.04,0.12500875,2023-12-22,PFE,9.0,26.65999984741211
8,PFE231222C00029000,2023-12-13,29.0,0.03,0.12500875,2023-12-22,PFE,9.0,26.65999984741211
9,PFE231222C00029500,2023-12-13,29.5,0.02,0.12500875,2023-12-22,PFE,9.0,26.65999984741211
10,PFE231222C00030000,2023-12-13,30.0,0.02,0.2500075,2023-12-22,PFE,9.0,26.65999984741211
11,PFE231222C00030500,2023-12-13,30.5,0.02,0.2500075,2023-12-22,PFE,9.0,26.65999984741211
12,PFE231222C00031000,2023-12-13,31.0,0.01,0.2500075,2023-12-22,PFE,9.0,26.65999984741211
13,PFE231222C00031500,2023-12-13,31.5,0.02,0.2500075,2023-12-22,PFE,9.0,26.65999984741211
14,PFE231222C00032000,2023-12-13,32.0,0.01,0.2500075,2023-12-22,PFE,9.0,26.65999984741211
15,PFE231222C00032500,2023-12-13,32.5,0.03,0.2500075,2023-12-22,PFE,9.0,26.65999984741211
16,PFE231222C00033000,2023-12-13,33.0,0.01,0.2500075,2023-12-22,PFE,9.0,26.65999984741211
17,PFE231222C00033500,2023-12-11,33.5,0.01,0.2500075,2023-12-22,PFE,11.0,28.639999389648438
18,PFE231222C00034000,2023-12-13,34.0,0.01,0.500005,2023-12-22,PFE,9.0,26.65999984741211
19,PFE231222C00034500,2023-12-06,34.5,0.03,0.500005,2023-12-22,PFE,16.0,28.790000915527344
20,PFE231222C00035000,2023-12-13,35.0,0.01,0.500005,2023-12-22,PFE,9.0,26.65999984741211
21,PFE231222C00036000,2023-12-04,36.0,0.01,0.500005,2023-12-22,PFE,18.0,29.280000686645508
22,PFE231222C00037000,2023-11-30,37.0,0.03,0.500005,2023-12-22,PFE,22.0,30.469999313354492
23,PFE231222C00038000,2023-11-20,38.0,0.02,0.500005,2023-12-22,PFE,32.0,29.979999542236328
24,PFE231222C00039000,2023-11-21,39.0,0.01,0.500005,2023-12-22,PFE,31.0,30.299999237060547
25,PFE231222C00040000,2023-11-02,40.0,0.02,1.2265663671875,2023-12-22,PFE,50.0,30.094257354736328
26,PFE231222C00041000,2023-11-22,41.0,0.01,0.500005,2023-12-22,PFE,30.0,30.31999969482422
27,PFE231222C00045000,2023-11-17,45.0,0.02,0.500005,2023-12-22,PFE,35.0,29.920000076293945
0,PFE231229C00020000,2023-12-13,20.0,6.65,1.0000000000000003e-05,2023-12-29,PFE,16.0,26.65999984741211
1,PFE231229C00024000,2023-12-13,24.0,2.77,1.0000000000000003e-05,2023-12-29,PFE,16.0,26.65999984741211
2,PFE231229C00025000,2023-12-13,25.0,1.8,1.0000000000000003e-05,2023-12-29,PFE,16.0,26.65999984741211
3,PFE231229C00026000,2023-12-13,26.0,0.97,1.0000000000000003e-05,2023-12-29,PFE,16.0,26.65999984741211
4,PFE231229C00027000,2023-12-13,27.0,0.42,0.015634843750000002,2023-12-29,PFE,16.0,26.65999984741211
5,PFE231229C00028000,2023-12-13,28.0,0.16,0.062509375,2023-12-29,PFE,16.0,26.65999984741211
6,PFE231229C00029000,2023-12-13,29.0,0.06,0.12500875,2023-12-29,PFE,16.0,26.65999984741211
7,PFE231229C00030000,2023-12-13,30.0,0.04,0.12500875,2023-12-29,PFE,16.0,26.65999984741211
8,PFE231229C00031000,2023-12-13,31.0,0.03,0.2500075,2023-12-29,PFE,16.0,26.65999984741211
9,PFE231229C00032000,2023-12-13,32.0,0.03,0.2500075,2023-12-29,PFE,16.0,26.65999984741211
10,PFE231229C00033000,2023-12-13,33.0,0.01,0.2500075,2023-12-29,PFE,16.0,26.65999984741211
11,PFE231229C00034000,2023-12-13,34.0,0.01,0.2500075,2023-12-29,PFE,16.0,26.65999984741211
12,PFE231229C00035000,2023-12-12,35.0,0.02,0.2500075,2023-12-29,PFE,17.0,28.579999923706055
13,PFE231229C00036000,2023-12-13,36.0,0.01,0.2500075,2023-12-29,PFE,16.0,26.65999984741211
14,PFE231229C00037000,2023-12-01,37.0,0.02,0.500005,2023-12-29,PFE,28.0,28.90999984741211
15,PFE231229C00038000,2023-12-12,38.0,0.01,0.500005,2023-12-29,PFE,17.0,28.579999923706055
16,PFE231229C00040000,2023-12-04,40.0,0.03,0.500005,2023-12-29,PFE,25.0,29.280000686645508
17,PFE231229C00041000,2023-11-09,41.0,0.02,0.7500025,2023-12-29,PFE,50.0,29.68000030517578
18,PFE231229C00045000,2023-11-10,45.0,0.01,0.9062509375,2023-12-29,PFE,49.0,29.479999542236328
0,PFE240105C00019000,2023-12-13,19.0,7.6,1.0000000000000003e-05,2024-01-05,PFE,23.0,26.65999984741211
1,PFE240105C00022000,2023-12-01,22.0,7.25,1.0000000000000003e-05,2024-01-05,PFE,35.0,28.90999984741211
2,PFE240105C00024000,2023-12-13,24.0,2.81,1.0000000000000003e-05,2024-01-05,PFE,23.0,26.65999984741211
3,PFE240105C00025000,2023-12-13,25.0,1.8,1.0000000000000003e-05,2024-01-05,PFE,23.0,26.65999984741211
4,PFE240105C00026000,2023-12-13,26.0,1.11,1.0000000000000003e-05,2024-01-05,PFE,23.0,26.65999984741211
5,PFE240105C00027000,2023-12-13,27.0,0.54,0.015634843750000002,2024-01-05,PFE,23.0,26.65999984741211
6,PFE240105C00028000,2023-12-13,28.0,0.22,0.062509375,2024-01-05,PFE,23.0,26.65999984741211
7,PFE240105C00029000,2023-12-13,29.0,0.09,0.12500875,2024-01-05,PFE,23.0,26.65999984741211
8,PFE240105C00030000,2023-12-13,30.0,0.04,0.12500875,2024-01-05,PFE,23.0,26.65999984741211
9,PFE240105C00031000,2023-12-13,31.0,0.04,0.12500875,2024-01-05,PFE,23.0,26.65999984741211
10,PFE240105C00032000,2023-12-13,32.0,0.03,0.2500075,2024-01-05,PFE,23.0,26.65999984741211
11,PFE240105C00033000,2023-12-13,33.0,0.02,0.2500075,2024-01-05,PFE,23.0,26.65999984741211
12,PFE240105C00034000,2023-12-13,34.0,0.03,0.2500075,2024-01-05,PFE,23.0,26.65999984741211
13,PFE240105C00035000,2023-12-13,35.0,0.01,0.2500075,2024-01-05,PFE,23.0,26.65999984741211
14,PFE240105C00036000,2023-12-13,36.0,0.03,0.2500075,2024-01-05,PFE,23.0,26.65999984741211
15,PFE240105C00037000,2023-12-04,37.0,0.09,0.2500075,2024-01-05,PFE,32.0,29.280000686645508
16,PFE240105C00039000,2023-12-01,39.0,0.2,0.2500075,2024-01-05,PFE,35.0,28.90999984741211
17,PFE240105C00042000,2023-11-30,42.0,0.01,0.500005,2024-01-05,PFE,36.0,30.469999313354492
0,PFE240112C00020000,2023-12-06,20.0,9.33,1.0000000000000003e-05,2024-01-12,PFE,37.0,28.790000915527344
1,PFE240112C00021000,2023-12-01,21.0,7.55,1.0000000000000003e-05,2024-01-12,PFE,42.0,28.90999984741211
2,PFE240112C00022000,2023-12-13,22.0,4.6,1.0000000000000003e-05,2024-01-12,PFE,30.0,26.65999984741211
3,PFE240112C00024000,2023-12-13,24.0,2.8,1.0000000000000003e-05,2024-01-12,PFE,30.0,26.65999984741211
4,PFE240112C00026000,2023-12-13,26.0,1.11,1.0000000000000003e-05,2024-01-12,PFE,30.0,26.65999984741211
5,PFE240112C00027000,2023-12-13,27.0,0.66,0.015634843750000002,2024-01-12,PFE,30.0,26.65999984741211
6,PFE240112C00028000,2023-12-13,28.0,0.31,0.062509375,2024-01-12,PFE,30.0,26.65999984741211
7,PFE240112C00029000,2023-12-13,29.0,0.12,0.062509375,2024-01-12,PFE,30.0,26.65999984741211
8,PFE240112C00030000,2023-12-13,30.0,0.07,0.12500875,2024-01-12,PFE,30.0,26.65999984741211
9,PFE240112C00031000,2023-12-13,31.0,0.04,0.12500875,2024-01-12,PFE,30.0,26.65999984741211
10,PFE240112C00032000,2023-12-13,32.0,0.03,0.12500875,2024-01-12,PFE,30.0,26.65999984741211
11,PFE240112C00033000,2023-12-13,33.0,0.02,0.2500075,2024-01-12,PFE,30.0,26.65999984741211
12,PFE240112C00034000,2023-12-12,34.0,0.02,0.2500075,2024-01-12,PFE,31.0,28.579999923706055
13,PFE240112C00035000,2023-12-12,35.0,0.03,0.2500075,2024-01-12,PFE,31.0,28.579999923706055
14,PFE240112C00036000,2023-12-07,36.0,0.02,0.2500075,2024-01-12,PFE,36.0,28.6299991607666
15,PFE240112C00037000,2023-12-06,37.0,0.02,0.2500075,2024-01-12,PFE,37.0,28.790000915527344
0,PFE240119C00017500,2023-12-13,17.5,8.6,1.0000000000000003e-05,2024-01-19,PFE,37.0,26.65999984741211
1,PFE240119C00020000,2023-12-13,20.0,6.8,1.0000000000000003e-05,2024-01-19,PFE,37.0,26.65999984741211
2,PFE240119C00021000,2023-12-13,21.0,5.55,1.0000000000000003e-05,2024-01-19,PFE,37.0,26.65999984741211
3,PFE240119C00022500,2023-12-13,22.5,4.35,1.0000000000000003e-05,2024-01-19,PFE,37.0,26.65999984741211
4,PFE240119C00024000,2023-12-13,24.0,2.89,1.0000000000000003e-05,2024-01-19,PFE,37.0,26.65999984741211
5,PFE240119C00025000,2023-12-13,25.0,2.05,1.0000000000000003e-05,2024-01-19,PFE,37.0,26.65999984741211
6,PFE240119C00026000,2023-12-13,26.0,1.3,1.0000000000000003e-05,2024-01-19,PFE,37.0,26.65999984741211
7,PFE240119C00027000,2023-12-13,27.0,0.72,0.015634843750000002,2024-01-19,PFE,37.0,26.65999984741211
8,PFE240119C00028000,2023-12-13,28.0,0.36,0.0312596875,2024-01-19,PFE,37.0,26.65999984741211
9,PFE240119C00029000,2023-12-13,29.0,0.18,0.062509375,2024-01-19,PFE,37.0,26.65999984741211
10,PFE240119C00030000,2023-12-13,30.0,0.1,0.12500875,2024-01-19,PFE,37.0,26.65999984741211
11,PFE240119C00031000,2023-12-13,31.0,0.06,0.12500875,2024-01-19,PFE,37.0,26.65999984741211
12,PFE240119C00032000,2023-12-13,32.0,0.04,0.12500875,2024-01-19,PFE,37.0,26.65999984741211
13,PFE240119C00033000,2023-12-13,33.0,0.03,0.12500875,2024-01-19,PFE,37.0,26.65999984741211
14,PFE240119C00034000,2023-12-13,34.0,0.02,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
15,PFE240119C00035000,2023-12-13,35.0,0.02,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
16,PFE240119C00036000,2023-12-13,36.0,0.02,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
17,PFE240119C00037000,2023-12-13,37.0,0.01,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
18,PFE240119C00038000,2023-12-13,38.0,0.02,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
19,PFE240119C00039000,2023-12-13,39.0,0.02,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
20,PFE240119C00040000,2023-12-13,40.0,0.01,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
21,PFE240119C00041000,2023-12-11,41.0,0.02,0.2500075,2024-01-19,PFE,39.0,28.639999389648438
22,PFE240119C00042000,2023-11-16,42.0,0.03,0.2500075,2024-01-19,PFE,64.0,29.770000457763672
23,PFE240119C00043000,2023-12-13,43.0,0.01,0.2500075,2024-01-19,PFE,37.0,26.65999984741211
24,PFE240119C00044000,2023-10-18,44.0,0.05,0.2500075,2024-01-19,PFE,93.0,30.992151260375977
25,PFE240119C00045000,2023-12-13,45.0,0.01,0.500005,2024-01-19,PFE,37.0,26.65999984741211
26,PFE240119C00046000,2023-10-05,46.0,0.03,0.7578149218750001,2024-01-19,PFE,106.0,33.024749755859375
27,PFE240119C00047000,2023-12-13,47.0,0.01,0.500005,2024-01-19,PFE,37.0,26.65999984741211
28,PFE240119C00048000,2023-10-30,48.0,0.04,0.500005,2024-01-19,PFE,81.0,30.143590927124023
29,PFE240119C00049000,2023-10-13,49.0,0.01,0.8437515624999999,2024-01-19,PFE,98.0,31.68284034729004
30,PFE240119C00050000,2023-12-13,50.0,0.01,0.500005,2024-01-19,PFE,37.0,26.65999984741211
31,PFE240119C00052500,2023-12-13,52.5,0.01,0.500005,2024-01-19,PFE,37.0,26.65999984741211
32,PFE240119C00055000,2023-12-11,55.0,0.01,0.500005,2024-01-19,PFE,39.0,28.639999389648438
33,PFE240119C00057500,2023-12-13,57.5,0.01,0.500005,2024-01-19,PFE,37.0,26.65999984741211
34,PFE240119C00060000,2023-12-13,60.0,0.01,0.500005,2024-01-19,PFE,37.0,26.65999984741211
35,PFE240119C00062500,2023-12-01,62.5,0.26,0.500005,2024-01-19,PFE,49.0,28.90999984741211
36,PFE240119C00065000,2023-12-05,65.0,0.01,0.500005,2024-01-19,PFE,45.0,29.09000015258789
37,PFE240119C00070000,2023-11-20,70.0,0.07,0.500005,2024-01-19,PFE,60.0,29.979999542236328
38,PFE240119C00075000,2023-12-13,75.0,0.01,0.500005,2024-01-19,PFE,37.0,26.65999984741211
39,PFE240119C00080000,2023-12-11,80.0,0.01,0.500005,2024-01-19,PFE,39.0,28.639999389648438
40,PFE240119C00085000,2023-12-11,85.0,0.01,0.500005,2024-01-19,PFE,39.0,28.639999389648438
0,PFE240126C00027000,2023-12-13,27.0,0.87,0.015634843750000002,2024-01-26,PFE,44.0,26.65999984741211
1,PFE240126C00028000,2023-12-13,28.0,0.44,0.0312596875,2024-01-26,PFE,44.0,26.65999984741211
2,PFE240126C00029000,2023-12-13,29.0,0.2,0.062509375,2024-01-26,PFE,44.0,26.65999984741211
3,PFE240126C00030000,2023-12-13,30.0,0.14,0.062509375,2024-01-26,PFE,44.0,26.65999984741211
4,PFE240126C00031000,2023-12-13,31.0,0.08,0.12500875,2024-01-26,PFE,44.0,26.65999984741211
5,PFE240126C00032000,2023-12-13,32.0,0.04,0.12500875,2024-01-26,PFE,44.0,26.65999984741211
6,PFE240126C00033000,2023-12-13,33.0,0.05,0.12500875,2024-01-26,PFE,44.0,26.65999984741211
7,PFE240126C00034000,2023-12-12,34.0,0.06,0.12500875,2024-01-26,PFE,45.0,28.579999923706055
0,PFE240216C00015000,2023-12-13,15.0,11.5,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
1,PFE240216C00018000,2023-12-13,18.0,8.63,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
2,PFE240216C00020000,2023-12-13,20.0,6.45,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
3,PFE240216C00021000,2023-12-13,21.0,5.75,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
4,PFE240216C00022000,2023-12-13,22.0,4.5,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
5,PFE240216C00023000,2023-12-13,23.0,3.65,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
6,PFE240216C00024000,2023-12-13,24.0,3.02,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
7,PFE240216C00025000,2023-12-13,25.0,2.22,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
8,PFE240216C00026000,2023-12-13,26.0,1.56,1.0000000000000003e-05,2024-02-16,PFE,65.0,26.65999984741211
9,PFE240216C00027000,2023-12-13,27.0,1.03,0.007822421875,2024-02-16,PFE,65.0,26.65999984741211
10,PFE240216C00028000,2023-12-13,28.0,0.62,0.0312596875,2024-02-16,PFE,65.0,26.65999984741211
11,PFE240216C00029000,2023-12-13,29.0,0.38,0.062509375,2024-02-16,PFE,65.0,26.65999984741211
12,PFE240216C00030000,2023-12-13,30.0,0.23,0.062509375,2024-02-16,PFE,65.0,26.65999984741211
13,PFE240216C00031000,2023-12-13,31.0,0.13,0.12500875,2024-02-16,PFE,65.0,26.65999984741211
14,PFE240216C00032000,2023-12-13,32.0,0.09,0.12500875,2024-02-16,PFE,65.0,26.65999984741211
15,PFE240216C00033000,2023-12-13,33.0,0.06,0.12500875,2024-02-16,PFE,65.0,26.65999984741211
16,PFE240216C00034000,2023-12-13,34.0,0.04,0.12500875,2024-02-16,PFE,65.0,26.65999984741211
17,PFE240216C00035000,2023-12-13,35.0,0.03,0.12500875,2024-02-16,PFE,65.0,26.65999984741211
18,PFE240216C00036000,2023-12-13,36.0,0.02,0.12500875,2024-02-16,PFE,65.0,26.65999984741211
19,PFE240216C00037000,2023-12-13,37.0,0.02,0.2500075,2024-02-16,PFE,65.0,26.65999984741211
20,PFE240216C00038000,2023-12-13,38.0,0.02,0.2500075,2024-02-16,PFE,65.0,26.65999984741211
21,PFE240216C00039000,2023-12-13,39.0,0.02,0.2500075,2024-02-16,PFE,65.0,26.65999984741211
22,PFE240216C00040000,2023-12-13,40.0,0.01,0.2500075,2024-02-16,PFE,65.0,26.65999984741211
23,PFE240216C00041000,2023-12-13,41.0,0.02,0.2500075,2024-02-16,PFE,65.0,26.65999984741211
24,PFE240216C00042000,2023-12-04,42.0,0.02,0.2500075,2024-02-16,PFE,74.0,29.280000686645508
25,PFE240216C00043000,2023-11-29,43.0,0.02,0.2500075,2024-02-16,PFE,79.0,30.079999923706055
26,PFE240216C00044000,2023-12-05,44.0,0.02,0.2500075,2024-02-16,PFE,73.0,29.09000015258789
27,PFE240216C00045000,2023-12-04,45.0,0.01,0.2500075,2024-02-16,PFE,74.0,29.280000686645508
28,PFE240216C00047000,2023-10-17,47.0,0.04,0.2500075,2024-02-16,PFE,122.0,32.314327239990234
29,PFE240216C00048000,2023-10-17,48.0,0.04,0.2500075,2024-02-16,PFE,122.0,32.314327239990234
30,PFE240216C00049000,2023-12-06,49.0,0.01,0.2500075,2024-02-16,PFE,72.0,28.790000915527344
31,PFE240216C00050000,2023-11-17,50.0,0.05,0.2500075,2024-02-16,PFE,91.0,29.920000076293945
0,PFE240315C00015000,2023-12-13,15.0,11.8,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
1,PFE240315C00019000,2023-12-13,19.0,7.1,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
2,PFE240315C00020000,2023-12-13,20.0,6.85,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
3,PFE240315C00021000,2023-12-13,21.0,5.37,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
4,PFE240315C00022500,2023-12-13,22.5,4.3,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
5,PFE240315C00024000,2023-12-13,24.0,2.9,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
6,PFE240315C00025000,2023-12-13,25.0,2.44,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
7,PFE240315C00026000,2023-12-13,26.0,1.8,1.0000000000000003e-05,2024-03-15,PFE,93.0,26.65999984741211
8,PFE240315C00027500,2023-12-13,27.5,1.06,0.015634843750000002,2024-03-15,PFE,93.0,26.65999984741211
9,PFE240315C00029000,2023-12-13,29.0,0.59,0.0312596875,2024-03-15,PFE,93.0,26.65999984741211
10,PFE240315C00030000,2023-12-13,30.0,0.38,0.062509375,2024-03-15,PFE,93.0,26.65999984741211
11,PFE240315C00031000,2023-12-13,31.0,0.26,0.062509375,2024-03-15,PFE,93.0,26.65999984741211
12,PFE240315C00032500,2023-12-13,32.5,0.13,0.12500875,2024-03-15,PFE,93.0,26.65999984741211
13,PFE240315C00034000,2023-12-13,34.0,0.09,0.12500875,2024-03-15,PFE,93.0,26.65999984741211
14,PFE240315C00035000,2023-12-13,35.0,0.06,0.12500875,2024-03-15,PFE,93.0,26.65999984741211
15,PFE240315C00036000,2023-12-13,36.0,0.05,0.12500875,2024-03-15,PFE,93.0,26.65999984741211
16,PFE240315C00037500,2023-12-13,37.5,0.03,0.12500875,2024-03-15,PFE,93.0,26.65999984741211
17,PFE240315C00039000,2023-12-13,39.0,0.04,0.12500875,2024-03-15,PFE,93.0,26.65999984741211
18,PFE240315C00040000,2023-12-13,40.0,0.02,0.2500075,2024-03-15,PFE,93.0,26.65999984741211
19,PFE240315C00041000,2023-12-13,41.0,0.04,0.2500075,2024-03-15,PFE,93.0,26.65999984741211
20,PFE240315C00042500,2023-12-13,42.5,0.02,0.2500075,2024-03-15,PFE,93.0,26.65999984741211
21,PFE240315C00044000,2023-12-13,44.0,0.06,0.2500075,2024-03-15,PFE,93.0,26.65999984741211
22,PFE240315C00045000,2023-12-13,45.0,0.01,0.2500075,2024-03-15,PFE,93.0,26.65999984741211
23,PFE240315C00046000,2023-11-22,46.0,0.02,0.2500075,2024-03-15,PFE,114.0,30.31999969482422
24,PFE240315C00047500,2023-12-13,47.5,0.01,0.2500075,2024-03-15,PFE,93.0,26.65999984741211
25,PFE240315C00049000,2023-11-09,49.0,0.03,0.51562984375,2024-03-15,PFE,127.0,29.68000030517578
26,PFE240315C00050000,2023-11-13,50.0,0.02,0.5039112109375,2024-03-15,PFE,123.0,28.979999542236328
27,PFE240315C00055000,2023-12-07,55.0,0.02,0.2500075,2024-03-15,PFE,99.0,28.6299991607666
28,PFE240315C00060000,2023-12-13,60.0,0.01,0.2500075,2024-03-15,PFE,93.0,26.65999984741211
0,PFE240419C00019000,2023-12-08,19.0,9.95,1.0000000000000003e-05,2024-04-19,PFE,133.0,28.780000686645508
1,PFE240419C00020000,2023-12-13,20.0,6.34,1.0000000000000003e-05,2024-04-19,PFE,128.0,26.65999984741211
2,PFE240419C00021000,2023-12-13,21.0,5.91,1.0000000000000003e-05,2024-04-19,PFE,128.0,26.65999984741211
3,PFE240419C00022500,2023-12-13,22.5,4.59,1.0000000000000003e-05,2024-04-19,PFE,128.0,26.65999984741211
4,PFE240419C00024000,2023-12-13,24.0,3.4,1.0000000000000003e-05,2024-04-19,PFE,128.0,26.65999984741211
5,PFE240419C00025000,2023-12-13,25.0,2.56,1.0000000000000003e-05,2024-04-19,PFE,128.0,26.65999984741211
6,PFE240419C00026000,2023-12-13,26.0,2.03,1.0000000000000003e-05,2024-04-19,PFE,128.0,26.65999984741211
7,PFE240419C00027500,2023-12-13,27.5,1.32,0.015634843750000002,2024-04-19,PFE,128.0,26.65999984741211
8,PFE240419C00029000,2023-12-13,29.0,0.81,0.0312596875,2024-04-19,PFE,128.0,26.65999984741211
9,PFE240419C00030000,2023-12-13,30.0,0.57,0.062509375,2024-04-19,PFE,128.0,26.65999984741211
10,PFE240419C00031000,2023-12-13,31.0,0.42,0.062509375,2024-04-19,PFE,128.0,26.65999984741211
11,PFE240419C00032500,2023-12-13,32.5,0.24,0.062509375,2024-04-19,PFE,128.0,26.65999984741211
